group_id,record_type,reinsurer,participation,tipo,reasegurado,asegurado,direccion,periodo_inicio,periodo_fin,actividad,estimado_ingresos,interes_asegurable,limite_max_res,riesgos_cubiertos,condiciones_reaseguro,exclusiones,deducibles,prima_neta,soporte,base_cobertura,territorialidad,jurisdiccion,terminos_pago,anexos_clausulas,panel_participantes
4,Cotizacion,Reasegurador 20,46,Reaseguro Facultativo de Vida,"Aseguradora Nacional, Compañía de Seguros del Valle",Energía Epsilon,"Boulevard Hidalgo 354, Col. Santa Fe, Guadalajara, México",2024-08-05,2026-05-15,Servicios financieros,2397813,Robo y vandalismo,7500000,"Responsabilidad civil, Incendio, Terremoto, Vandalismo","Gastos de defensa incluidos, Sujeto a LMA 2001, Arbitraje internacional","Actos delictivos, Guerra y terrorismo, Contaminación, Negligencia grave, Daños intencionales","General: USD 75,000; Robo: USD 4,000; Terremoto: USD 7,000; Daños eléctricos: USD 4,000; Pérdida de ingresos: USD 45,000",2407778,46% parte del 100%,Suma Directa,Latinoamérica,Leyes Latam,90 días,"LMA 3100A (Limitación de Sanciones), NMA 2738 (Control de Reclamos), NMA 2962 (Exclusión de Daños por Agua)",
4,Cotizacion,Navys,54,Reaseguro Facultativo de Vida,"Aseguradora Nacional, Compañía de Seguros del Valle",Energía Epsilon,"Boulevard Hidalgo 354, Col. Santa Fe, Guadalajara, México",2024-08-05,2026-05-15,Servicios financieros,2397813,Robo y vandalismo,7500000,"Responsabilidad civil, Incendio, Terremoto, Vandalismo","Gastos de defensa incluidos, Sujeto a LMA 2001, Arbitraje internacional","Actos delictivos, Guerra y terrorismo, Contaminación, Negligencia grave, Daños intencionales","General: USD 75,000; Robo: USD 4,000; Terremoto: USD 7,000; Daños eléctricos: USD 4,000; Pérdida de ingresos: USD 45,000",2826522,54% parte del 100%,Suma Directa,Latinoamérica,Leyes Latam,90 días,"LMA 3100A (Limitación de Sanciones), NMA 2738 (Control de Reclamos), NMA 2962 (Exclusión de Daños por Agua)",
5,Nota,,,Reaseguro Facultativo de Vida,"Grupo Financiero Unión, Aseguradora Nacional","Servicios Integrales del Valle, S.A. de C.V.","Av. Reforma 159, Col. Roma, Monterrey, México",2028-05-14,2030-08-06,Administración de edificios corporativos y comerciales,11687223,Responsabilidad civil y pérdidas operacionales,1000000,"Terremoto, Incendio, Vandalismo, Responsabilidad civil","Sujeto a LMA 2001, Gastos de defensa incluidos, Texto LMA 6000A, Arbitraje internacional","Guerra y terrorismo, Daños intencionales, Actos delictivos, Contaminación","General: USD 36,000; Robo: USD 51,000; Terremoto: USD 36,000; Daños eléctricos: USD 5,000; Pérdida de ingresos: USD 17,000",8148842,100% parte del 100%,Suma Agregada,México,Leyes Latam,60 días,"NMA 2738 (Control de Reclamos), LMA 3092 (All Risks), NMA 464 (Exclusión de Guerra y Guerra Civil)",Sigma 100% parte del 100%
5,Cotizacion,Sigma,100,Reaseguro Facultativo de Vida,"Grupo Financiero Unión, Aseguradora Nacional","Servicios Integrales del Valle, S.A. de C.V.","Av. Reforma 159, Col. Roma, Monterrey, México",2028-05-14,2030-08-06,Administración de edificios corporativos y comerciales,11687223,Responsabilidad civil y pérdidas operacionales,1000000,"Terremoto, Incendio, Vandalismo, Responsabilidad civil","Sujeto a LMA 2001, Gastos de defensa incluidos, Texto LMA 6000A, Arbitraje internacional","Guerra y terrorismo, Daños intencionales, Actos delictivos, Contaminación","General: USD 36,000; Robo: USD 51,000; Terremoto: USD 36,000; Daños eléctricos: USD 5,000; Pérdida de ingresos: USD 17,000",8148842,100% parte del 100%,Suma Agregada,México,Leyes Latam,60 días,"NMA 2738 (Control de Reclamos), LMA 3092 (All Risks), NMA 464 (Exclusión de Guerra y Guerra Civil)",
6,Nota,,,Reaseguro Facultativo de Vida,"Compañía de Seguros del Valle, Aseguradora Nacional",Energía Epsilon,"Av. Reforma 344, Col. Roma, Querétaro, México",2028-11-27,2030-02-14,Servicios financieros,19407939,Responsabilidad civil y pérdidas operacionales,10000000,"Vandalismo, Daños eléctricos, Incendio, Terremoto, Robo, Agua, Responsabilidad civil, Pérdida de ingresos","Gastos de defensa incluidos, Sujeto a LMA 2001, Arbitraje internacional, Cancelación por mutuo acuerdo, Texto LMA 6000A","Guerra y terrorismo, Negligencia grave, Contaminación, Inestabilidad política","General: USD 99,000; Robo: USD 95,000; Terremoto: USD 2,000; Daños eléctricos: USD 88,000; Pérdida de ingresos: USD 9,000",1235977,100% parte del 100%,Ocurrencia,Estados Unidos,Leyes de Canadá,45 días,"LMA 3100A (Limitación de Sanciones), NMA 2910 (Cláusula de Inhabilitación), NMA 2962 (Exclusión de Daños por Agua)",Reasegurador 14 19% parte del 100%; Zenith 17% parte del 100%; Reasegurador 2 30% parte del 100%; Reasegurador 4 7% parte del 100%; Orion 27% parte del 100%
6,Cotizacion,Reasegurador 14,19,Reaseguro Facultativo de Vida,"Compañía de Seguros del Valle, Aseguradora Nacional",Energía Epsilon,"Av. Reforma 344, Col. Roma, Querétaro, México",2028-11-27,2030-02-14,Servicios financieros,19407939,Responsabilidad civil y pérdidas operacionales,10000000,"Vandalismo, Daños eléctricos, Incendio, Terremoto, Robo, Agua, Responsabilidad civil, Pérdida de ingresos","Gastos de defensa incluidos, Sujeto a LMA 2001, Arbitraje internacional, Cancelación por mutuo acuerdo, Texto LMA 6000A","Guerra y terrorismo, Negligencia grave, Contaminación, Inestabilidad política","General: USD 99,000; Robo: USD 95,000; Terremoto: USD 2,000; Daños eléctricos: USD 88,000; Pérdida de ingresos: USD 9,000",234835,19% parte del 100%,Ocurrencia,Estados Unidos,Leyes de Canadá,45 días,"LMA 3100A (Limitación de Sanciones), NMA 2910 (Cláusula de Inhabilitación), NMA 2962 (Exclusión de Daños por Agua)",
6,Cotizacion,Zenith,17,Reaseguro Facultativo de Vida,"Compañía de Seguros del Valle, Aseguradora Nacional",Energía Epsilon,"Av. Reforma 344, Col. Roma, Querétaro, México",2028-11-27,2030-02-14,Servicios financieros,19407939,Responsabilidad civil y pérdidas operacionales,10000000,"Vandalismo, Daños eléctricos, Incendio, Terremoto, Robo, Agua, Responsabilidad civil, Pérdida de ingresos","Gastos de defensa incluidos, Sujeto a LMA 2001, Arbitraje internacional, Cancelación por mutuo acuerdo, Texto LMA 6000A","Guerra y terrorismo, Negligencia grave, Contaminación, Inestabilidad política","General: USD 99,000; Robo: USD 95,000; Terremoto: USD 2,000; Daños eléctricos: USD 88,000; Pérdida de ingresos: USD 9,000",210116,17% parte del 100%,Ocurrencia,Estados Unidos,Leyes de Canadá,45 días,"LMA 3100A (Limitación de Sanciones), NMA 2910 (Cláusula de Inhabilitación), NMA 2962 (Exclusión de Daños por Agua)",
6,Cotizacion,Reasegurador 2,30,Reaseguro Facultativo de Vida,"Compañía de Seguros del Valle, Aseguradora Nacional",Energía Epsilon,"Av. Reforma 344, Col. Roma, Querétaro, México",2028-11-27,2030-02-14,Servicios financieros,19407939,Responsabilidad civil y pérdidas operacionales,10000000,"Vandalismo, Daños eléctricos, Incendio, Terremoto, Robo, Agua, Responsabilidad civil, Pérdida de ingresos","Gastos de defensa incluidos, Sujeto a LMA 2001, Arbitraje internacional, Cancelación por mutuo acuerdo, Texto LMA 6000A","Guerra y terrorismo, Negligencia grave, Contaminación, Inestabilidad política","General: USD 99,000; Robo: USD 95,000; Terremoto: USD 2,000; Daños eléctricos: USD 88,000; Pérdida de ingresos: USD 9,000",370793,30% parte del 100%,Ocurrencia,Estados Unidos,Leyes de Canadá,45 días,"LMA 3100A (Limitación de Sanciones), NMA 2910 (Cláusula de Inhabilitación), NMA 2962 (Exclusión de Daños por Agua)",
6,Cotizacion,Reasegurador 4,7,Reaseguro Facultativo de Vida,"Compañía de Seguros del Valle, Aseguradora Nacional",Energía Epsilon,"Av. Reforma 344, Col. Roma, Querétaro, México",2028-11-27,2030-02-14,Servicios financieros,19407939,Responsabilidad civil y pérdidas operacionales,10000000,"Vandalismo, Daños eléctricos, Incendio, Terremoto, Robo, Agua, Responsabilidad civil, Pérdida de ingresos","Gastos de defensa incluidos, Sujeto a LMA 2001, Arbitraje internacional, Cancelación por mutuo acuerdo, Texto LMA 6000A","Guerra y terrorismo, Negligencia grave, Contaminación, Inestabilidad política","General: USD 99,000; Robo: USD 95,000; Terremoto: USD 2,000; Daños eléctricos: USD 88,000; Pérdida de ingresos: USD 9,000",86518,7% parte del 100%,Ocurrencia,Estados Unidos,Leyes de Canadá,45 días,"LMA 3100A (Limitación de Sanciones), NMA 2910 (Cláusula de Inhabilitación), NMA 2962 (Exclusión de Daños por Agua)",
6,Cotizacion,Orion,27,Reaseguro Facultativo de Vida,"Compañía de Seguros del Valle, Aseguradora Nacional",Energía Epsilon,"Av. Reforma 344, Col. Roma, Querétaro, México",2028-11-27,2030-02-14,Servicios financieros,19407939,Responsabilidad civil y pérdidas operacionales,10000000,"Vandalismo, Daños eléctricos, Incendio, Terremoto, Robo, Agua, Responsabilidad civil, Pérdida de ingresos","Gastos de defensa incluidos, Sujeto a LMA 2001, Arbitraje internacional, Cancelación por mutuo acuerdo, Texto LMA 6000A","Guerra y terrorismo, Negligencia grave, Contaminación, Inestabilidad política","General: USD 99,000; Robo: USD 95,000; Terremoto: USD 2,000; Daños eléctricos: USD 88,000; Pérdida de ingresos: USD 9,000",333713,27% parte del 100%,Ocurrencia,Estados Unidos,Leyes de Canadá,45 días,"LMA 3100A (Limitación de Sanciones), NMA 2910 (Cláusula de Inhabilitación), NMA 2962 (Exclusión de Daños por Agua)",
7,Nota,,,Reaseguro Facultativo de Salud,"Aseguradora Nacional, Grupo Financiero Unión",Transportes Beta,"Boulevard Hidalgo 848, Col. Juárez, Puebla, México",2028-01-05,2029-06-02,Comercio minorista,19616120,Responsabilidad civil y pérdidas operacionales,2500000,"Responsabilidad civil, Vandalismo, Terremoto","Sujeto a LMA 2001, Gastos de defensa incluidos, Texto LMA 6000A, Arbitraje internacional, Cancelación por mutuo acuerdo","Actos delictivos, Daños intencionales, Negligencia grave, Guerra y terrorismo, Contaminación","General: USD 58,000; Robo: USD 89,000; Terremoto: USD 91,000; Daños eléctricos: USD 52,000; Pérdida de ingresos: USD 73,000",8370896,100% parte del 100%,Suma Directa,Global,Leyes Latam,90 días,"NMA 2962 (Exclusión de Daños por Agua), LMA 3092 (All Risks)",Epsilon 100% parte del 100%
7,Cotizacion,Epsilon,100,Reaseguro Facultativo de Salud,"Aseguradora Nacional, Grupo Financiero Unión",Transportes Beta,"Boulevard Hidalgo 848, Col. Juárez, Puebla, México",2028-01-05,2029-06-02,Comercio minorista,19616120,Responsabilidad civil y pérdidas operacionales,2500000,"Responsabilidad civil, Vandalismo, Terremoto","Sujeto a LMA 2001, Gastos de defensa incluidos, Texto LMA 6000A, Arbitraje internacional, Cancelación por mutuo acuerdo","Actos delictivos, Daños intencionales, Negligencia grave, Guerra y terrorismo, Contaminación","General: USD 58,000; Robo: USD 89,000; Terremoto: USD 91,000; Daños eléctricos: USD 52,000; Pérdida de ingresos: USD 73,000",8370896,100% parte del 100%,Suma Directa,Global,Leyes Latam,90 días,"NMA 2962 (Exclusión de Daños por Agua), LMA 3092 (All Risks)",
8,Nota,,,Reaseguro Facultativo de Vida,"Compañía de Seguros del Valle, Aseguradora Nacional","Servicios Integrales del Valle, S.A. de C.V.","Av. Unión 307, Col. Juárez, Ciudad de México, México",2027-03-21,2028-09-08,Comercio minorista,881928,Terremoto y huracanes,2500000,"Terremoto, Robo, Responsabilidad civil","Gastos de defensa incluidos, Texto LMA 6000A, Sujeto a LMA 2001, Cancelación por mutuo acuerdo","Daños intencionales, Actos delictivos, Contaminación, Inestabilidad política","General: USD 15,000; Robo: USD 83,000; Terremoto: USD 62,000; Daños eléctricos: USD 82,000; Pérdida de ingresos: USD 59,000",6462045,100% parte del 100%,Suma Agregada,Global,Leyes mexicanas,60 días,"NMA 2910 (Cláusula de Inhabilitación), LMA 3100A (Limitación de Sanciones), NMA 2738 (Control de Reclamos), NMA 2962 (Exclusión de Daños por Agua), LMA 3092 (All Risks)",Reasegurador 8 25% parte del 100%; Reasegurador 12 28% parte del 100%; Reasegurador 1 47% parte del 100%
8,Cotizacion,Reasegurador 8,25,Reaseguro Facultativo de Vida,"Compañía de Seguros del Valle, Aseguradora Nacional","Servicios Integrales del Valle, S.A. de C.V.","Av. Unión 307, Col. Juárez, Ciudad de México, México",2027-03-21,2028-09-08,Comercio minorista,881928,Terremoto y huracanes,2500000,"Terremoto, Robo, Responsabilidad civil","Gastos de defensa incluidos, Texto LMA 6000A, Sujeto a LMA 2001, Cancelación por mutuo acuerdo","Daños intencionales, Actos delictivos, Contaminación, Inestabilidad política","General: USD 15,000; Robo: USD 83,000; Terremoto: USD 62,000; Daños eléctricos: USD 82,000; Pérdida de ingresos: USD 59,000",1615511,25% parte del 100%,Suma Agregada,Global,Leyes mexicanas,60 días,"NMA 2910 (Cláusula de Inhabilitación), LMA 3100A (Limitación de Sanciones), NMA 2738 (Control de Reclamos), NMA 2962 (Exclusión de Daños por Agua), LMA 3092 (All Risks)",
8,Cotizacion,Reasegurador 12,28,Reaseguro Facultativo de Vida,"Compañía de Seguros del Valle, Aseguradora Nacional","Servicios Integrales del Valle, S.A. de C.V.","Av. Unión 307, Col. Juárez, Ciudad de México, México",2027-03-21,2028-09-08,Comercio minorista,881928,Terremoto y huracanes,2500000,"Terremoto, Robo, Responsabilidad civil","Gastos de defensa incluidos, Texto LMA 6000A, Sujeto a LMA 2001, Cancelación por mutuo acuerdo","Daños intencionales, Actos delictivos, Contaminación, Inestabilidad política","General: USD 15,000; Robo: USD 83,000; Terremoto: USD 62,000; Daños eléctricos: USD 82,000; Pérdida de ingresos: USD 59,000",1809372,28% parte del 100%,Suma Agregada,Global,Leyes mexicanas,60 días,"NMA 2910 (Cláusula de Inhabilitación), LMA 3100A (Limitación de Sanciones), NMA 2738 (Control de Reclamos), NMA 2962 (Exclusión de Daños por Agua), LMA 3092 (All Risks)",
8,Cotizacion,Reasegurador 1,47,Reaseguro Facultativo de Vida,"Compañía de Seguros del Valle, Aseguradora Nacional","Servicios Integrales del Valle, S.A. de C.V.","Av. Unión 307, Col. Juárez, Ciudad de México, México",2027-03-21,2028-09-08,Comercio minorista,881928,Terremoto y huracanes,2500000,"Terremoto, Robo, Responsabilidad civil","Gastos de defensa incluidos, Texto LMA 6000A, Sujeto a LMA 2001, Cancelación por mutuo acuerdo","Daños intencionales, Actos delictivos, Contaminación, Inestabilidad política","General: USD 15,000; Robo: USD 83,000; Terremoto: USD 62,000; Daños eléctricos: USD 82,000; Pérdida de ingresos: USD 59,000",3037161,47% parte del 100%,Suma Agregada,Global,Leyes mexicanas,60 días,"NMA 2910 (Cláusula de Inhabilitación), LMA 3100A (Limitación de Sanciones), NMA 2738 (Control de Reclamos), NMA 2962 (Exclusión de Daños por Agua), LMA 3092 (All Risks)",
9,Nota,,,Reaseguro Facultativo Todo Riesgo,"Seguros Central, S.A., Compañía de Seguros del Valle",Retail Gamma,"Boulevard Hidalgo 636, Col. Centro, Mérida, México",2025-07-01,2028-04-03,Administración de edificios corporativos y comerciales,4445943,Responsabilidad civil y pérdidas operacionales,1000000,"Terremoto, Incendio, Daños eléctricos, Pérdida de ingresos","Gastos de defensa incluidos, Cancelación por mutuo acuerdo, Sujeto a LMA 2001, Arbitraje internacional","Guerra y terrorismo, Contaminación, Inestabilidad política","General: USD 0; Robo: USD 16,000; Terremoto: USD 91,000; Daños eléctricos: USD 94,000; Pérdida de ingresos: USD 61,000",5924434,100% parte del 100%,Suma Directa,Canadá,Leyes de Estados Unidos,90 días,"NMA 2738 (Control de Reclamos), NMA 464 (Exclusión de Guerra y Guerra Civil), LMA 3100A (Limitación de Sanciones), LMA 3092 (All Risks), NMA 2910 (Cláusula de Inhabilitación), NMA 2962 (Exclusión de Daños por Agua)",Reasegurador 7 21% parte del 100%; Reasegurador 13 25% parte del 100%; Zenith 33% parte del 100%; Gamma 1% parte del 100%; Reasegurador 20 20% parte del 100%
9,Cotizacion,Reasegurador 7,21,Reaseguro Facultativo Todo Riesgo,"Seguros Central, S.A., Compañía de Seguros del Valle",Retail Gamma,"Boulevard Hidalgo 636, Col. Centro, Mérida, México",2025-07-01,2028-04-03,Administración de edificios corporativos y comerciales,4445943,Responsabilidad civil y pérdidas operacionales,1000000,"Terremoto, Incendio, Daños eléctricos, Pérdida de ingresos","Gastos de defensa incluidos, Cancelación por mutuo acuerdo, Sujeto a LMA 2001, Arbitraje internacional","Guerra y terrorismo, Contaminación, Inestabilidad política","General: USD 0; Robo: USD 16,000; Terremoto: USD 91,000; Daños eléctricos: USD 94,000; Pérdida de ingresos: USD 61,000",1244131,21% parte del 100%,Suma Directa,Canadá,Leyes de Estados Unidos,90 días,"NMA 2738 (Control de Reclamos), NMA 464 (Exclusión de Guerra y Guerra Civil), LMA 3100A (Limitación de Sanciones), LMA 3092 (All Risks), NMA 2910 (Cláusula de Inhabilitación), NMA 2962 (Exclusión de Daños por Agua)",
